t,x,y,z,qw,qx,qy,qz
0.0588545,0.0824268,0.00407927,-0.100744,0.726349,-0.632891,-0.177855,-0.200585
0.059861,0.0824268,0.00407927,-0.100744,0.726349,-0.632891,-0.177855,-0.200585
0.0608638,0.0825845,0.00410218,-0.100724,0.726332,-0.632853,-0.178196,-0.200462
0.0618542,0.0825845,0.00410218,-0.100724,0.726332,-0.632853,-0.178196,-0.200462
0.0628637,0.0827421,0.00412524,-0.100703,0.72618,-0.632938,-0.178396,-0.200567
0.0638518,0.0827421,0.00412524,-0.100703,0.72618,-0.632938,-0.178396,-0.200567
0.0648537,0.0828998,0.00414846,-0.100683,0.726157,-0.633136,-0.178192,-0.200208
0.0658556,0.0828998,0.00414846,-0.100683,0.726157,-0.633136,-0.178192,-0.200208
0.0668625,0.0830575,0.00417184,-0.100662,0.726012,-0.632983,-0.178937,-0.200549
0.0678598,0.0830575,0.00417184,-0.100662,0.726012,-0.632983,-0.178937,-0.200549
0.06886,0.0832153,0.00419537,-0.100641,0.725989,-0.633181,-0.178733,-0.20019
0.0698567,0.0832153,0.00419537,-0.100641,0.725989,-0.633181,-0.178733,-0.20019
0.0708643,0.0833055,0.00418478,-0.100621,0.725808,-0.632986,-0.179628,-0.20066
0.0718594,0.0833055,0.00418478,-0.100621,0.725808,-0.632986,-0.179628,-0.20066
0.0728534,0.0834405,0.00425335,-0.100621,0.725882,-0.633068,-0.179329,-0.2004
0.0738613,0.0834405,0.00425335,-0.100621,0.725882,-0.633068,-0.179329,-0.2004
0.0748584,0.0835982,0.00427726,-0.1006,0.725732,-0.633151,-0.17953,-0.200504
0.0758534,0.0835982,0.00427726,-0.1006,0.725732,-0.633151,-0.17953,-0.200504
0.0768626,0.083756,0.00430132,-0.100579,0.725709,-0.633349,-0.179327,-0.200144
0.0778506,0.083756,0.00430132,-0.100579,0.725709,-0.633349,-0.179327,-0.200144
0.078867,0.0838463,0.00429105,-0.100559,0.725657,-0.633267,-0.179817,-0.20015
0.0798587,0.0838463,0.00429105,-0.100559,0.725657,-0.633267,-0.179817,-0.20015
0.0808552,0.0839812,0.00436006,-0.100559,0.725603,-0.633235,-0.179923,-0.200354
0.0818509,0.0839812,0.00436006,-0.100559,0.725603,-0.633235,-0.179923,-0.200354
0.0828519,0.0840715,0.00434992,-0.100538,0.725423,-0.633037,-0.180818,-0.200824
0.0838598,0.0840715,0.00434992,-0.100538,0.725423,-0.633037,-0.180818,-0.200824
0.0848449,0.0841389,0.0043845,-0.100538,0.72546,-0.633078,-0.180669,-0.200694
0.0858472,0.0841389,0.0043845,-0.100538,0.72546,-0.633078,-0.180669,-0.200694
0.0868477,0.0842967,0.00440909,-0.100517,0.72531,-0.63316,-0.18087,-0.200797
0.0878669,0.0842967,0.00440909,-0.100517,0.72531,-0.63316,-0.18087,-0.200797
0.0888502,0.0843641,0.00444377,-0.100517,0.725355,-0.632962,-0.181265,-0.200903
0.0898486,0.0843641,0.00444377,-0.100517,0.725355,-0.632962,-0.181265,-0.200903
0.0908456,0.0844545,0.00443385,-0.100496,0.725168,-0.633002,-0.181616,-0.201136
0.0918597,0.0844545,0.00443385,-0.100496,0.725168,-0.633002,-0.181616,-0.201136
0.0928728,0.0845219,0.00446859,-0.100496,0.725205,-0.633043,-0.181467,-0.201006
0.0938497,0.0845219,0.00446859,-0.100496,0.725205,-0.633043,-0.181467,-0.201006
0.0948678,0.0846123,0.00445876,-0.100475,0.725018,-0.633083,-0.181818,-0.201238
0.0958613,0.0846123,0.00445876,-0.100475,0.725018,-0.633083,-0.181818,-0.201238
0.0968543,0.0846797,0.00449356,-0.100475,0.724934,-0.632768,-0.182616,-0.201808
0.0978554,0.0846797,0.00449356,-0.100475,0.724934,-0.632768,-0.182616,-0.201808
0.0988524,0.0847701,0.00448382,-0.100455,0.724876,-0.632923,-0.182563,-0.201577
0.0998578,0.0847701,0.00448382,-0.100455,0.724876,-0.632923,-0.182563,-0.201577
0.100862,0.0848375,0.00451869,-0.100455,0.724785,-0.632848,-0.182818,-0.20191
0.101857,0.0848375,0.00451869,-0.100455,0.724785,-0.632848,-0.182818,-0.20191
0.102865,0.0849279,0.00450904,-0.100434,0.724727,-0.633003,-0.182765,-0.201679
0.103854,0.0849279,0.00450904,-0.100434,0.724727,-0.633003,-0.182765,-0.201679
0.104857,0.0849953,0.00454398,-0.100434,0.724643,-0.632687,-0.183564,-0.202249
0.10586,0.0849953,0.00454398,-0.100434,0.724643,-0.632687,-0.183564,-0.202249
0.106853,0.0850858,0.00453442,-0.100413,0.724456,-0.632725,-0.183915,-0.20248
0.107858,0.0850858,0.00453442,-0.100413,0.724456,-0.632725,-0.183915,-0.20248
0.108863,0.0851531,0.00456942,-0.100413,0.724494,-0.632766,-0.183766,-0.20235
0.109852,0.0851531,0.00456942,-0.100413,0.724494,-0.632766,-0.183766,-0.20235
0.110857,0.0852436,0.00455995,-0.100392,0.724307,-0.632804,-0.184118,-0.202582
0.111858,0.0852436,0.00455995,-0.100392,0.724307,-0.632804,-0.184118,-0.202582
0.112852,0.085311,0.00459502,-0.100392,0.724215,-0.632728,-0.184373,-0.202915
0.113843,0.085311,0.00459502,-0.100392,0.724215,-0.632728,-0.184373,-0.202915
0.11485,0.0854015,0.00458564,-0.100371,0.724028,-0.632765,-0.184725,-0.203146
0.115855,0.0854015,0.00458564,-0.100371,0.724028,-0.632765,-0.184725,-0.203146
0.116857,0.0854688,0.00462077,-0.100371,0.724066,-0.632807,-0.184576,-0.203016
0.117852,0.0854688,0.00462077,-0.100371,0.724066,-0.632807,-0.184576,-0.203016
