t,epoch,x,y,z,qw,qx,qy,qz
0.0,13.067,0.30654618622037527,-1.9150770267383506e-06,0.5884562603085846,0.0006655836560701225,0.9238767618170891,-0.38268617514731346,-0.001605404586428676
0.0009999999999994458,13.068,0.30654618622037527,-1.9150770267383506e-06,0.5884562603085846,0.0006655836560701225,0.9238767618170891,-0.38268617514731346,-0.001605404586428676
0.002000000000000668,13.069,0.30654618622037527,-1.9150770267383506e-06,0.5884562603085846,0.0006655836560701225,0.9238767618170891,-0.38268617514731346,-0.001605404586428676
0.0030000000000001137,13.07,0.30654618622037527,-1.9150770267383506e-06,0.5884562603085846,0.0006655836560701225,0.9238767618170891,-0.38268617514731346,-0.001605404586428676
0.0039999999999995595,13.071,0.30654618622037527,-1.9150770267383506e-06,0.5884562603085846,0.0006655836560701225,0.9238767618170891,-0.38268617514731346,-0.001605404586428676
0.004999999999999005,13.072,0.30654618622037527,-1.9150770267383506e-06,0.5884562603085846,0.0006655836560701225,0.9238767618170891,-0.38268617514731346,-0.001605404586428676
0.006000000000000227,13.073,0.3065461862203754,-1.915077026480404e-06,0.5884562603085847,0.0006655836560691029,0.9238767618171787,-0.38268617514709713,-0.0016054045864283774
0.006999999999999673,13.074,0.30654618622037555,-1.9150770262224584e-06,0.5884562603085848,0.0006655836560680835,0.9238767618172682,-0.382686175146881,-0.001605404586428079
0.007999999999999119,13.075,0.30654618622037566,-1.9150770259645123e-06,0.5884562603085849,0.000665583656067064,0.9238767618173577,-0.3826861751466649,-0.0016054045864277804
0.009000000000000341,13.076,0.3065461862203758,-1.9150770257065666e-06,0.588456260308585,0.0006655836560660445,0.9238767618174473,-0.38268617514644865,-0.0016054045864274818
0.009999999999999787,13.077,0.306546186220376,-1.9150770254486205e-06,0.5884562603085851,0.0006655836560650251,0.9238767618175369,-0.3826861751462326,-0.0016054045864271832
0.010999999999999233,13.078,0.3065461862203762,-1.9150770249327232e-06,0.5884562603085853,0.0006655836560630723,0.9238767618177256,-0.38268617514577696,-0.0016054045864266702
0.012000000000000455,13.079,0.3065461862203765,-1.915077024416826e-06,0.5884562603085856,0.0006655836560611198,0.9238767618179142,-0.3826861751453214,-0.0016054045864261578
0.0129999999999999,13.08,0.30654618622037677,-1.9150770239009282e-06,0.5884562603085858,0.000665583656059167,0.923876761818103,-0.38268617514486575,-0.0016054045864256452
0.013999999999999346,13.081,0.306546186220377,-1.915077023385032e-06,0.588456260308586,0.0006655836560572143,0.9238767618182917,-0.3826861751444102,-0.0016054045864251321
0.015000000000000568,13.082,0.30654618622037727,-1.9150770228691345e-06,0.5884562603085862,0.0006655836560552615,0.9238767618184804,-0.3826861751439546,-0.0016054045864246193
0.016000000000000014,13.083,0.3065461862203775,-1.9150770224542913e-06,0.5884562603085864,0.0006652317128247787,0.9239606298054357,-0.38248363918480655,-0.001605550453136641
0.01699999999999946,13.084,0.30654618622037794,-1.9150770228104153e-06,0.5884562603085868,0.0006652438482252273,0.9239577388083967,-0.38249062285314295,-0.0016055454249900897
0.018000000000000682,13.085,0.30654618622037827,-1.915077022262429e-06,0.5884562603085871,0.000665106724466505,0.9239904019846213,-0.38241171100635574,-0.0016056022341699012
0.019000000000000128,13.086,0.3065461862203787,-1.9150770220546687e-06,0.5884562603085874,0.0006651067244655355,0.923990401984652,-0.3824117110062816,-0.0016056022341682603
0.019999999999999574,13.087,0.3065461862203791,-1.9150770214507656e-06,0.5884562603085878,0.0006651067244630023,0.9239904019848559,-0.3824117110057891,-0.0016056022341672661
0.02099999999999902,13.088,0.3065461862203796,-1.9150770210548154e-06,0.5884562603085882,0.000664650749918947,0.9240989593400468,-0.3821493072362598,-0.0016057910417962365
0.02200000000000024,13.089,0.3065461862203802,-1.9150770211195367e-06,0.5884562603085888,0.0006651943460847089,0.9239695312348748,-0.38246213541227375,-0.001605565934867634
0.022999999999999687,13.09,0.30654618622051955,-1.8927138337550015e-06,0.588456260308589,0.0006641142051564201,0.9242266147658259,-0.3818404696113449,-0.0016060130173116418
0.023999999999999133,13.091,0.30654618622056634,-1.8852061728168207e-06,0.5884562603085896,0.0006641142248285288,0.924226619441482,-0.38184045829414254,-0.00160601300917363
0.025000000000000355,13.092,0.3065461862205669,-1.8852061722871566e-06,0.58845626030859,0.0006641142248258732,0.9242266194416094,-0.38184045829383395,-0.0016060130091720849
0.0259999999999998,13.093,0.3065461862205675,-1.8852061717043352e-06,0.5884562603085906,0.000663937455461812,0.9242686409987575,-0.3817387312558431,-0.00160608609497454
0.026999999999999247,13.094,0.30654618622056823,-1.885206171514664e-06,0.5884562603085911,0.0006639374554604804,0.9242686409987553,-0.38173873125584856,-0.0016060860949717265
0.02800000000000047,13.095,0.3065461862205784,-1.883654835186185e-06,0.5884562603085918,0.0006639058431224421,0.9242761564232965,-0.3817205343466458,-0.001606099162779826
0.028999999999999915,13.096,0.306546186220579,-1.883654834584058e-06,0.5884562603085922,0.0006639058431195187,0.924276156423471,-0.38172053434622333,-0.0016060991627777905
0.02999999999999936,13.097,0.30654618622060564,-1.8794112357732616e-06,0.5884562603085928,0.0006639002127470429,0.9242774998673994,-0.38171728139210626,-0.0016061014901641707
0.031000000000000583,13.098,0.3065461862206063,-1.8794112353953164e-06,0.5884562603085937,0.0006633527012016576,0.9244075624151453,-0.38140220007781817,-0.0016063277009965816
0.03200000000000003,13.099,0.3065461862209419,-1.8240361048729148e-06,0.5884562603085944,0.0006643343194683518,0.9241743565059107,-0.3819669337146827,-0.00160592197853492
0.032999999999999474,13.1,0.30654618622189994,-1.6553005326901928e-06,0.5884562603085951,0.0006642126386966298,0.9242035052586595,-0.38189640027384114,-0.0016059723097703997
0.034000000000000696,13.101,0.3065461862229625,-1.4453694846782064e-06,0.5884562603085959,0.0006640169036987984,0.9242503039942511,-0.38178312592497515,-0.0016060532496599844
0.03500000000000014,13.102,0.3065461862240069,-1.2038182590427797e-06,0.5884562603085965,0.0006640175364628724,0.9242504544123947,-0.3817827617808231,-0.0016060529880417606
0.03599999999999959,13.103,0.3065461862243927,-1.1014105267059749e-06,0.5884562603085973,0.0006627161860380688,0.9245595770119219,-0.38103355263027283,-0.0016065904101165078
0.036999999999999034,13.104,0.3065461862243937,-1.1014105283150937e-06,0.5884562603085984,0.0006627424918934857,0.9245533379328691,-0.38104869110351347,-0.0016065795587322288
0.038000000000000256,13.105,0.3065461862243945,-1.1014105278482661e-06,0.5884562603085994,0.000662363801248555,0.9246431257670434,-0.3808307624736509,-0.001606735723097653
0.0389999999999997,13.106,0.3065461862243955,-1.101410528006828e-06,0.5884562603086003,0.0006626504972124367,0.9245751554657611,-0.3809957500681268,-0.0016066175050739645
