t,epoch,x,y,z,qw,qx,qy,qz
0.0,25.851,0.30482974218290576,-1.691602367249845e-06,0.48007616643254525,5.652074096267767e-07,0.999975730527786,-3.0616694082604743e-06,-0.006966946657425146
0.0010000000000012221,25.852,0.3048297421829056,-1.6916023672498582e-06,0.48007616643254486,5.652074096267873e-07,0.999975730527786,-3.0616694082604743e-06,-0.006966946657425978
0.0020000000000024443,25.853,0.3048297421829053,-1.6916023672498714e-06,0.4800761664325445,5.652074096265809e-07,0.999975730527786,-3.0616694082604743e-06,-0.006966946657426866
0.0030000000000001137,25.854,0.304829742182905,-1.691602367249885e-06,0.4800761664325442,5.652074096265913e-07,0.999975730527786,-3.0616694082604743e-06,-0.006966946657427699
0.004000000000001336,25.855,0.30482974218290465,-1.6916023672498966e-06,0.48007616643254386,5.652074096268185e-07,0.999975730527786,-3.061669408246596e-06,-0.006966946657428476
0.005000000000002558,25.856,0.3048297421829044,-1.6916023672499097e-06,0.48007616643254347,5.652074096266117e-07,0.999975730527786,-3.061669408246596e-06,-0.0069669466574293504
0.006000000000000227,25.857,0.3048297421829041,-1.6916023672499218e-06,0.4800761664325432,5.652074096268384e-07,0.999975730527786,-3.061669408246596e-06,-0.006966946657430197
0.0070000000000014495,25.858,0.3048297421829039,-1.6916023672499338e-06,0.48007616643254286,5.652074096268482e-07,0.999975730527786,-3.061669408246596e-06,-0.006966946657431016
0.008000000000002672,25.859,0.3048297421829047,-1.6916023688385314e-06,0.4800761664325432,5.652074136669932e-07,0.999975730527786,-3.061669408121693e-06,-0.006966946657429017
0.009000000000000341,25.86,0.30482974218290554,-1.6916023704278717e-06,0.48007616643254347,5.652074177075303e-07,0.999975730527786,-3.06166940799679e-06,-0.00696694665742702
0.010000000000001563,25.861,0.30482974218290637,-1.6916023720169347e-06,0.4800761664325438,5.652074217487081e-07,0.999975730527786,-3.0616694078996434e-06,-0.0069669466574250214
0.011000000000002785,25.862000000000002,0.3048297421829072,-1.691602373606033e-06,0.48007616643254414,5.65207425790131e-07,0.999975730527786,-3.061669407760862e-06,-0.006966946657423023
0.012000000000000455,25.863,0.3048297421829081,-1.6916023751951656e-06,0.48007616643254447,5.652074298304986e-07,0.999975730527786,-3.061669407649837e-06,-0.006966946657421025
0.013000000000001677,25.864,0.3048297421829089,-1.6916023767843315e-06,0.4800761664325449,5.652074338715431e-07,0.9999757305277861,-3.061669407538811e-06,-0.006966946657419025
0.013999999999999346,25.865,0.30482974218290976,-1.6916023783735305e-06,0.48007616643254525,5.652074379132648e-07,0.9999757305277861,-3.0616694074277863e-06,-0.006966946657417027
0.015000000000000568,25.866,0.30482974218291065,-1.69160237996276e-06,0.4800761664325456,5.65207441953711e-07,0.9999757305277861,-3.061669407289005e-06,-0.0069669466574150294
0.01600000000000179,25.867,0.3048297421829115,-1.6916023815520197e-06,0.4800761664325459,5.652074459952661e-07,0.9999757305277861,-3.061669407191858e-06,-0.00696694665741303
0.01699999999999946,25.868,0.3048297421829123,-1.6916023831413074e-06,0.4800761664325462,5.652074500364106e-07,0.9999757305277861,-3.0616694070947113e-06,-0.006966946657411032
0.018000000000000682,25.869,0.30482999606389943,-1.6916038165267576e-06,0.48007626848608276,5.652092879444204e-07,0.9999757347070198,-3.06166907846061e-06,-0.006966346780248273
0.019000000000001904,25.87,0.3048304913286331,-1.6916066122278744e-06,0.4800764675706092,5.652128721155595e-07,0.9999757428587353,-3.0616684275293462e-06,-0.006965176553915811
0.019999999999999574,25.871,0.3048312149159847,-1.6916106965283367e-06,0.48007675843776465,5.652181080630569e-07,0.9999757547660352,-3.0616674715771336e-06,-0.0069634668380730985
0.021000000000000796,25.872,0.3048321532867609,-1.6916159930129318e-06,0.4800771356476964,5.652248978455495e-07,0.9999757702034662,-3.06166622878071e-06,-0.0069612496214051245
0.022000000000002018,25.873,0.30483329250792074,-1.6916224230430627e-06,0.4800775936027425,5.652331406718958e-07,0.9999757889385791,-3.0616647177129456e-06,-0.006958557822772548
0.022999999999999687,25.874,0.3048346183348684,-1.6916299062213887e-06,0.480078126580343,5.652427334976981e-07,0.9999758107334538,-3.06166295736593e-06,-0.0069554250969075925
0.02400000000000091,25.875,0.304836116291522,-1.691638360843897e-06,0.48007872876506796,5.65253571604254e-07,0.9999758353461751,-3.061660967104817e-06,-0.006951885645354262
0.02500000000000213,25.876,0.30483777174788634,-1.6916477043378826e-06,0.4800793942796519,5.652655491594553e-07,0.999975862532261,-3.0616587664552798e-06,-0.00694797403329976
0.0259999999999998,25.877,0.3048397975541638,-1.6916591384671398e-06,0.4800802087000966,5.652802073111928e-07,0.9999758957795715,-3.0616560709231117e-06,-0.006943187319269496
0.027000000000001023,25.878,0.3048421677901763,-1.691672516428975e-06,0.4800811616177707,5.652973572856653e-07,0.9999759346506992,-3.0616529152800293e-06,-0.006937586739445198
